services,date,time,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method
cab economy,2024-08-04,20:22:13.627163,completed,Kaval Byrasandra Zone,Amruthahalli Nagar,27,RD8896691899841144,8.6,969.53,12.33,981.86,Paytm
bike lite,2024-06-26,06:53:40.627163,completed,Vasanth Nagar Dam,Kaggalipura Esplanade,91,RD6982431441382717,17.13,118.46,43.32,161.78,Paytm
bike lite,2024-07-20,23:21:45.627163,cancelled,Avalahalli Trail,VV Puram Lane,108,RD5500818243003488,5.07,,,,nan
auto,2024-06-19,07:26:43.627163,completed,Billekahalli Court,Kanakapura Heights,110,RD8320147331799323,6.51,749.0,25.04,774.04,Paytm
bike,2024-06-27,16:20:29.627163,completed,Bagalur Complex,Kudlu Gate Side,67,RD7226607445587619,46.96,748.35,11.25,759.6,Amazon Pay
cab economy,2024-07-19,12:31:10.627163,completed,Varthur Nagar,Frazer Town Fields,112,RD6863517318655609,42.13,406.5,21.99,428.49,GPay
auto,2024-08-13,06:15:04.627163,completed,Chikkajala Bridge,Bagalur Cutting,57,RD3678186891021156,16.65,777.73,34.51,812.24,QR scan
parcel,2024-07-23,10:20:08.627163,completed,Ulsoor District,Bellandur Outer Ring Road Pier,44,RD0408196110296181,32.1,931.17,18.62,949.79,Amazon Pay
auto,2024-07-02,17:43:14.627163,completed,Tavarekere Hills,Whitefield 4th Stage,55,RD6968821947695222,26.67,132.78,45.53,178.31,Amazon Pay
bike,2024-06-26,10:28:07.627163,completed,Kanakapura Loop,Devarachikkanahalli 5th Stage,96,RD5726072818812565,19.88,740.98,41.57,782.5500000000001,GPay
bike lite,2024-06-21,13:03:07.627163,completed,Madivala Complex,Hulimavu Viewpoint,39,RD1987380689675504,26.37,503.54,24.33,527.87,GPay
bike,2024-06-17,16:39:14.627163,completed,Rachenahalli Plaza,Kengeri Vista,108,RD2497699031993074,6.82,313.96,33.53,347.49,QR scan
cab economy,2024-08-04,06:45:27.627163,completed,Kalyan Nagar Station,Mahadevapura Pointe,27,RD6406888713572308,46.7,545.74,7.26,553.0,Amazon Pay
bike,2024-06-29,03:33:12.627163,completed,Rajajinagar Way,Koramangala Cutting,35,RD4417228643853679,4.88,382.06,1.7,383.76,Amazon Pay
cab economy,2024-07-09,14:46:12.627163,completed,Electronic City Depot,Dommasandra Crescent,102,RD9694688505998033,22.88,653.51,39.18,692.6899999999999,GPay
bike,2024-07-06,12:00:41.627163,completed,Jakkur Farms,Doddanekundi Meadows,110,RD5846018130721707,13.86,604.32,47.0,651.32,Paytm
auto,2024-08-08,03:08:16.627163,completed,Domlur Close,Ganganagar Arcade,36,RD9939811018641912,36.9,835.74,9.55,845.29,QR scan
auto,2024-08-06,00:40:37.627163,cancelled,Amruthahalli Layout,Kudlu Loop,61,RD8186950098703775,38.19,,,,nan
parcel,2024-06-21,18:25:10.627163,completed,Munnekollal Fork,Jakkur Promenade,50,RD2133418279929766,15.16,351.45,19.47,370.91999999999996,Amazon Pay
parcel,2024-07-17,11:52:52.627163,completed,Kalena Agrahara Promenade,Tavarekere 2nd Stage,28,RD1586035967354090,39.21,372.62,44.16,416.78,Amazon Pay
parcel,2024-07-30,02:07:25.627163,completed,Rajarajeshwari Nagar Run,Subramanyapura Layout,36,RD7684055456379906,38.51,769.45,5.68,775.13,QR scan
bike,2024-08-08,06:46:25.627163,completed,Kothanur Side,Dommasandra 1st Stage,67,RD6599037846894789,16.17,83.91,31.84,115.75,GPay
parcel,2024-08-13,02:29:54.627163,completed,Jalahalli Vista,Hennur Vista,18,RD6998219536659738,46.8,797.59,20.86,818.45,QR scan
cab economy,2024-07-03,06:22:19.627163,completed,KR Puram Landing,Hulimavu Square,95,RD4468293110715831,13.14,870.29,29.71,900.0,GPay
auto,2024-07-11,23:28:57.627163,cancelled,Mahalakshmi Layout Sector,Nagasandra Square,27,RD2578347921364379,5.48,,,,nan
cab economy,2024-07-29,06:59:13.627163,completed,Vidya Vihar Terrace,Lingarajapuram Meadows,62,RD4550866547832610,37.14,785.44,23.44,808.8800000000001,GPay
bike,2024-06-29,16:26:42.627163,completed,VV Puram Pass,Ramamurthy Nagar Complex,97,RD6543959617296404,15.32,655.18,40.91,696.0899999999999,Paytm
cab economy,2024-06-19,21:13:36.627163,completed,RMV 2nd Stage Alley,Peenya Park,118,RD6824429489703746,25.39,98.91,19.46,118.37,Amazon Pay
cab economy,2024-06-22,16:46:33.627163,completed,Jakkasandra 5th Stage,Basavanagudi Terrace,62,RD2334706275981434,40.5,950.72,20.09,970.8100000000001,Amazon Pay
cab economy,2024-07-27,22:21:52.627163,completed,Bikasipura Cut,Babusapalya Garden,29,RD7509263348181408,7.89,207.12,6.67,213.79,Amazon Pay
bike,2024-08-01,11:13:24.627163,cancelled,Nelamangala Meadows,Gottigere Enclave,57,RD1471684898193886,26.01,,,,nan
bike,2024-06-23,19:19:08.627163,completed,Hoodi 2nd Block,Bommanahalli Enclave,39,RD0067360842974920,22.12,629.95,20.7,650.6500000000001,Paytm
bike,2024-07-26,04:35:19.627163,completed,Kasturi Nagar Estate,Kasavanahalli 4th Block,63,RD4936332016454661,45.46,540.9,5.02,545.92,GPay
bike,2024-08-16,12:06:06.627163,cancelled,Nayandahalli Trail,Gottigere Square,65,RD3230847260888687,40.9,,,,nan
bike,2024-07-03,18:30:03.627163,completed,Chikkajala Lane,Kadubeesanahalli Run,85,RD9497522785028990,24.84,736.06,48.92,784.9799999999999,Amazon Pay
auto,2024-08-12,00:15:08.627163,completed,Basavanagudi Layout,Vijayanagar Promenade,118,RD0122336070815260,8.68,504.64,8.85,513.49,Amazon Pay
parcel,2024-07-25,07:32:05.627163,completed,Naganathapura Layout,Rajarajeshwari Nagar 2nd Stage,23,RD5978144989054450,38.19,274.09,19.06,293.15,Paytm
bike,2024-07-12,00:10:52.627163,completed,Doddanekundi Garden,Nagasandra Run,112,RD7414443345949694,5.88,600.37,11.65,612.02,QR scan
parcel,2024-06-27,07:31:21.627163,completed,Marathahalli 4th Stage,Pai Layout Plaza,66,RD8024103414020658,38.58,753.6,40.84,794.44,Amazon Pay
cab economy,2024-06-21,00:30:05.627163,completed,Banerghatta Road Cut,Nagasandra Viewpoint,105,RD9182058217877471,28.97,652.07,24.86,676.9300000000001,Amazon Pay
bike,2024-07-03,16:47:30.627163,completed,Hulimavu Court,Kothaguda Enclave,88,RD6874209786331867,27.23,337.84,7.34,345.17999999999995,GPay
parcel,2024-08-16,01:38:22.627163,completed,Kumaraswamy Layout 2nd Stage,MG Road Layout,84,RD1649627314224647,20.11,388.84,18.01,406.84999999999997,Amazon Pay
cab economy,2024-07-23,20:56:34.627163,completed,Nayandahalli Ridge,Devarachikkanahalli Court,87,RD4229883199739794,32.35,274.85,36.79,311.64000000000004,QR scan
parcel,2024-07-02,07:49:33.627163,completed,Sahakar Nagar Village,BTM 2nd Stage Harbor,15,RD9391962236529806,8.54,343.77,4.02,347.78999999999996,Amazon Pay
bike,2024-07-09,01:11:39.627163,completed,Sahakar Nagar Pier,Munnekollal Quarry,111,RD3347653690716161,44.36,507.87,43.81,551.6800000000001,Amazon Pay
bike lite,2024-06-25,10:57:38.627163,completed,Gottigere Nagar,Madiwala Valley,111,RD8156748104224189,22.14,437.85,9.75,447.6,GPay
bike,2024-08-07,13:40:01.627163,completed,Basavanagudi 3rd Block,Mahadevapura Passage,24,RD3655437955861225,24.64,967.38,37.27,1004.65,GPay
bike,2024-07-04,13:30:32.627163,completed,Subramanyapura District,Nandini Layout Arc,94,RD8451574136985688,6.26,391.17,13.28,404.45,Paytm
bike lite,2024-08-09,05:49:38.627163,completed,Koramangala 6th Block Park,Munnekollal Depot,118,RD9340325096548701,42.99,605.28,28.68,633.9599999999999,GPay
cab economy,2024-07-31,03:48:34.627163,cancelled,Jayanagar View,Hulimavu Square,90,RD4757747804578335,21.09,,,,nan
cab economy,2024-06-30,23:44:19.627163,completed,Domlur 4th Stage,Banerghatta Road Plaza,30,RD3039062755209486,24.8,538.72,42.09,580.8100000000001,GPay
auto,2024-06-28,03:09:38.627163,completed,Sahakar Nagar Harbor,Yelahanka New Town Extension,65,RD2118519672039831,14.68,826.98,22.37,849.35,QR scan
bike lite,2024-06-21,22:28:59.627163,completed,Anjanapura District,Yelahanka 3rd Stage,76,RD7437097777957454,24.55,712.72,48.61,761.33,GPay
bike,2024-06-18,19:11:41.627163,cancelled,Arekere Loop,Sadashiva Nagar Colony,42,RD3541208632225599,27.73,,,,nan
auto,2024-07-25,17:46:44.627163,completed,VV Puram Pointe,Varthur District,57,RD1005729487804278,29.12,874.26,41.92,916.18,GPay
parcel,2024-08-16,18:04:35.627163,completed,Kodigehalli Drive,Begur Cutting,67,RD6303390595542496,2.42,166.86,38.37,205.23000000000002,Amazon Pay
cab economy,2024-08-06,20:57:55.627163,completed,Harohalli Fields,Hosur Trail,85,RD1664721927666928,7.8,128.27,38.6,166.87,QR scan
bike,2024-07-08,15:00:27.627163,completed,Devarachikkanahalli Court,Kaval Byrasandra Farms,117,RD9183307955727365,29.97,505.48,9.3,514.78,QR scan
bike,2024-07-18,03:05:13.627163,completed,Kothanur Dam,Madiwala Way,112,RD8783117540558370,19.54,477.6,41.52,519.12,Amazon Pay
bike lite,2024-07-05,07:33:09.627163,completed,Basaveshwaranagar Promenade,Billekahalli Way,85,RD8351800776281009,7.1,925.51,38.14,963.65,Paytm
parcel,2024-07-20,18:39:24.627163,completed,HSR Layout Crescent,Benniganahalli Mews,114,RD9420185095570473,37.7,484.0,47.88,531.88,GPay
auto,2024-07-02,22:59:15.627163,completed,Nayandahalli Promenade,Agara Road,29,RD7518360860216262,8.93,257.61,34.75,292.36,GPay
bike,2024-08-07,04:13:11.627163,completed,ITI Layout Heights,Bikasipura Pass,112,RD9271961236993224,46.95,616.62,47.9,664.52,QR scan
bike,2024-07-14,14:19:08.627163,cancelled,BTM 2nd Stage Circle,Kadubeesanahalli Village,113,RD2564039417994886,3.59,,,,nan
auto,2024-08-03,13:18:26.627163,completed,Thanisandra Woods,Chandra Layout 5th Block,46,RD4858676951394446,8.4,696.99,7.74,704.73,Paytm
auto,2024-06-21,11:17:27.627163,completed,Mahadevapura Viewpoint,Kadubeesanahalli Park,116,RD9065887237290358,40.57,587.95,32.84,620.7900000000001,Paytm
parcel,2024-07-13,02:50:53.627163,completed,Kadubeesanahalli Landing,Bellandur Outer Ring Road Heights,109,RD3781771120101542,47.71,245.05,18.46,263.51,GPay
cab economy,2024-07-27,22:08:05.627163,completed,Gottigere Quarters,Harohalli Loop,18,RD6869297441734863,33.63,843.95,43.79,887.74,Paytm
cab economy,2024-06-19,05:20:15.627163,completed,Kundalahalli Alley,Doddanekundi Quay,115,RD3529863956659095,44.06,863.87,3.61,867.48,QR scan
parcel,2024-08-16,06:56:18.627163,completed,Kaval Byrasandra Court,Mysore Road Extension,37,RD4093624368104956,22.02,343.99,2.67,346.66,Amazon Pay
bike,2024-07-03,21:21:43.627163,completed,Anekal Ridge,Hebbal Kempapura 2nd Stage,40,RD9904223993607543,28.36,628.74,28.61,657.35,Amazon Pay
auto,2024-06-22,20:44:16.627163,cancelled,Kumaraswamy Layout 5th Block,Sarjapur Landing,28,RD3842383965861396,13.78,,,,nan
bike,2024-08-10,18:19:53.627163,completed,Horamavu Cross,Jakkasandra Square,38,RD3490260816347780,2.83,999.17,39.69,1038.86,QR scan
bike,2024-06-30,14:23:20.627163,completed,Vijayanagar Harbor,RT Nagar Arcade,83,RD5111926050774458,8.84,343.52,20.43,363.95,QR scan
cab economy,2024-08-01,11:33:27.627163,completed,Dommasandra Place,Ramamurthy Nagar 2nd Stage,29,RD2113183717542955,13.14,201.27,22.52,223.79000000000002,GPay
bike,2024-07-04,05:00:05.627163,completed,Begur 6th Stage,Basaveshwaranagar Garden,37,RD5983034374669998,25.05,227.94,28.91,256.85,Paytm
auto,2024-06-30,11:33:55.627163,completed,Avalahalli Quadrant,Kanakapura Trail,91,RD4407013826843649,20.52,332.29,30.11,362.40000000000003,QR scan
bike,2024-06-23,10:40:39.627163,completed,Ulsoor Works,Banaswadi Plaza,56,RD9202252478670932,33.65,658.83,48.63,707.46,GPay
parcel,2024-06-19,12:46:21.627163,completed,Devarachikkanahalli 3rd Stage,Ramamurthy Nagar Village,86,RD7073153658101073,11.33,180.89,33.02,213.91,Amazon Pay
bike,2024-07-18,22:25:53.627163,completed,Vidya Vihar Works,Lingarajapuram Arcade,112,RD9366256903507352,49.95,957.59,0.34,957.9300000000001,Paytm
bike lite,2024-07-18,06:15:07.627163,completed,KR Puram 3rd Block,Nandini Layout Esplanade,105,RD4876705150461712,47.53,725.62,48.96,774.58,GPay
cab economy,2024-07-22,02:52:26.627163,completed,Harohalli Village,Dodda Banaswadi View,92,RD4150946403194415,17.27,86.26,11.9,98.16000000000001,Paytm
parcel,2024-07-21,22:49:59.627163,completed,Hennur 3rd Stage,Rajarajeshwari Nagar Mews,76,RD4648784974638963,40.74,614.49,2.56,617.05,Amazon Pay
bike lite,2024-07-07,14:58:36.627163,completed,Kumaraswamy Layout Road,Nayandahalli 3rd Block,59,RD3287473404159012,44.99,841.04,47.65,888.6899999999999,Amazon Pay
auto,2024-06-22,08:38:20.627163,completed,Horamavu Agara 5th Stage,Chikkabellandur Colony,91,RD8326147087575794,33.42,140.68,39.42,180.10000000000002,Paytm
bike,2024-06-30,17:31:04.627163,completed,MG Road 3rd Block,Koramangala 8th Block Track,25,RD1389672003318625,16.23,945.19,22.4,967.59,GPay
cab economy,2024-07-27,04:25:29.627163,completed,Nandini Layout Works,Sadashiva Nagar Terrace,32,RD2388391996085732,17.75,253.81,38.39,292.2,QR scan
cab economy,2024-08-15,01:29:56.627163,completed,Adugodi Vista,Kaggalipura Lane,68,RD7027911340085654,49.34,526.22,24.38,550.6,Amazon Pay
bike,2024-07-08,01:07:48.627163,completed,Munnekollal Township,Doddaballapur Lane,108,RD9455392491204593,47.51,489.2,28.45,517.65,Amazon Pay
cab economy,2024-07-11,04:34:20.627163,completed,Basaveshwaranagar Meadows,Amruthahalli Pointe,31,RD2823990966827280,4.35,410.55,12.57,423.12,Paytm
parcel,2024-08-04,16:45:48.627163,completed,Chikkabellandur Arc,Banaswadi Arcade,106,RD9206416437098795,35.65,676.99,25.25,702.24,QR scan
parcel,2024-06-24,17:19:40.627163,completed,Yeshwanthpur Woods,Bikasipura Garden,118,RD9444508064921169,28.98,528.52,2.15,530.67,Paytm
auto,2024-08-11,15:51:20.627163,completed,Koramangala 4th Block Bridge,Shivaji Nagar Plaza,22,RD4029884839256144,40.52,644.16,39.45,683.61,Amazon Pay
bike lite,2024-08-12,06:24:25.627163,completed,Bhadrappa Layout Landing,Vasanth Nagar Pointe,112,RD8712553481291860,35.94,462.23,35.41,497.64,QR scan
auto,2024-08-03,20:31:22.627163,completed,HSR Layout Yard,Begur Quarry,48,RD3482306334594708,25.44,783.5,49.04,832.54,Amazon Pay
auto,2024-07-01,01:16:11.627163,completed,Hosur Sarjapur Road Layout Valley,Banashankari 1st Block,29,RD7328568858291742,21.16,180.3,23.21,203.51000000000002,Amazon Pay
parcel,2024-07-09,19:59:46.627163,completed,Amruthahalli Fork,Vasanth Nagar Complex,15,RD9608454042710555,19.74,471.4,30.62,502.02,Amazon Pay
parcel,2024-07-31,03:36:29.627163,cancelled,Thanisandra Road,Kodigehalli Sector,20,RD9655136618814965,33.19,,,,nan
bike lite,2024-08-06,04:09:25.627163,completed,Yelahanka New Town Boulevard,Banashankari Drive,25,RD3522732983099416,36.89,277.56,4.07,281.63,GPay
cab economy,2024-07-07,07:23:00.627163,completed,Dommasandra Nagar,Hoodi Court,17,RD5677854291273234,39.6,986.8,31.06,1017.8599999999999,GPay
cab economy,2024-07-18,10:18:39.627163,completed,Yelahanka Area,BTM Layout Alcove,22,RD4452793050489658,2.07,469.07,20.27,489.34,QR scan
bike,2024-07-24,17:04:38.627163,completed,Ganganagar Layout,Chandra Layout Cutting,21,RD7427917940564822,7.67,770.86,26.92,797.78,Paytm
parcel,2024-07-08,10:37:19.627163,cancelled,Vijayanagar 6th Stage,Hulimavu 5th Block,110,RD1933017828628869,42.68,,,,nan
auto,2024-08-10,01:48:56.627163,completed,Anjanapura Zone,Koramangala 8th Block Plaza,29,RD9356067682305816,2.43,716.12,31.17,747.29,Amazon Pay
auto,2024-08-03,21:25:15.627163,completed,Nagasandra Arc,Bellandur Square,30,RD1399534458561769,21.8,287.51,13.09,300.59999999999997,Paytm
cab economy,2024-07-26,07:41:01.627163,completed,Devarachikkanahalli 2nd Stage,Nagawara 3rd Block,84,RD2494707225780635,44.08,569.91,15.76,585.67,Amazon Pay
parcel,2024-08-13,05:14:29.627163,completed,Ganganagar 6th Stage,Horamavu Close,65,RD7414117302160690,45.29,398.38,9.76,408.14,GPay
parcel,2024-08-16,14:16:05.627163,completed,Lingarajapuram Summit,Kadugodi 5th Stage,100,RD0598095015568281,26.08,104.93,0.27,105.2,QR scan
bike,2024-08-07,06:47:26.627163,cancelled,Dooravani Nagar 6th Stage,Tavarekere Vista,31,RD2339684178353117,24.64,,,,nan
auto,2024-07-07,22:46:28.627163,completed,Chikkalasandra Area,Yeshwanthpur Alley,64,RD3603789818092709,30.96,432.36,3.98,436.34000000000003,GPay
parcel,2024-08-03,06:39:18.627163,completed,Varthur Hills,Bikasipura Drive,19,RD1637485562584416,34.5,672.08,7.1,679.1800000000001,Amazon Pay
auto,2024-08-07,10:24:26.627163,completed,Subramanyapura Close,Dr. Shivaram Karanth Nagar Passage,59,RD7480344267379497,17.02,693.17,37.64,730.81,Amazon Pay
bike lite,2024-06-30,00:20:26.627163,completed,Doddakannelli Heights,Kothanur Extension,62,RD7285796061864678,10.12,114.02,31.99,146.01,Paytm
cab economy,2024-08-11,02:21:02.627163,completed,Dommasandra Arcade,Sonnenahalli Cutting,29,RD4076512983715361,48.91,282.32,42.05,324.37,QR scan
cab economy,2024-07-17,10:24:36.627163,completed,Dooravani Nagar Garden,Ashok Nagar Cross,69,RD9481918260976259,31.86,591.71,27.96,619.6700000000001,Amazon Pay
auto,2024-07-18,08:27:10.627163,completed,Doddakannelli Alley,HRBR Layout Layout,88,RD0470880940678226,33.19,910.47,26.47,936.94,GPay
parcel,2024-07-15,15:01:09.627163,completed,Nagwara Cutting,Kalyan Nagar Quarry,25,RD0203693276747024,40.64,860.12,47.59,907.71,Paytm
bike,2024-08-10,17:42:25.627163,completed,Dodda Banaswadi 2nd Block,Subramanyapura Alcove,66,RD3953026662487083,41.93,100.29,14.5,114.79,GPay
auto,2024-08-05,07:03:45.627163,cancelled,Hoodi Vista,Ganganagar Terrace,98,RD0688931876199581,11.22,,,,nan
cab economy,2024-07-23,16:01:36.627163,completed,Kodigehalli Pass,Nelamangala Colony,37,RD5580213151016794,5.81,193.5,9.23,202.73,QR scan
bike lite,2024-07-17,00:07:46.627163,completed,BTM Layout 3rd Stage,Kengeri Heights,56,RD8037688138917195,45.41,182.66,32.64,215.3,GPay
cab economy,2024-07-09,20:48:36.627163,completed,JP Nagar Cross,Peenya Vista,32,RD3110043585088639,24.55,594.3,4.73,599.03,Paytm
bike,2024-06-21,01:09:45.627163,completed,JP Nagar Quay,Bommanahalli Village,92,RD4319246460826511,41.07,659.81,17.14,676.9499999999999,GPay
parcel,2024-08-16,23:09:45.627163,completed,Basavanagudi 1st Block,ITI Layout Pier,46,RD5540950817069571,44.11,206.43,43.72,250.15,Amazon Pay
bike,2024-07-14,19:26:55.627163,completed,Subbanna Palya Drive,Kasavanahalli Area,58,RD7469586997142439,1.23,560.9,27.85,588.75,Paytm
bike,2024-06-30,08:25:47.627163,completed,Nagawara Cove,Doddanekundi Court,94,RD2902714367630037,27.52,854.81,42.08,896.89,QR scan
auto,2024-08-06,08:38:44.627163,completed,Nelamangala 4th Stage,Nandini Layout Court,17,RD6265884567652671,18.94,620.34,25.07,645.4100000000001,QR scan
auto,2024-06-22,17:52:06.627163,completed,ITI Layout 6th Block,Koramangala 6th Block Zone,15,RD3286509265909826,47.96,221.77,24.22,245.99,GPay
auto,2024-07-27,00:16:46.627163,completed,Bhadrappa Layout Alcove,Indiranagar Landing,38,RD6582924248991539,19.3,405.43,11.72,417.15000000000003,Amazon Pay
bike lite,2024-07-09,01:03:56.627163,completed,Hulimavu 2nd Block,Banaswadi Quay,38,RD5718152344424122,29.47,255.71,34.21,289.92,QR scan
auto,2024-08-06,16:49:49.627163,completed,Chikkajala Run,Kothnur 6th Stage,75,RD6736129678602084,43.25,660.04,18.5,678.54,QR scan
bike lite,2024-08-01,14:42:01.627163,completed,Bommasandra Square,Chikkabellandur Fork,47,RD9518449399131861,6.37,318.76,46.69,365.45,Paytm
auto,2024-06-25,22:54:58.627163,completed,Mysore Road Alcove,Banaswadi Landing,22,RD8774568339083415,20.21,691.15,6.09,697.24,GPay
bike,2024-07-19,09:23:53.627163,completed,Ramnagar Harbor,Thanisandra Garden,34,RD3705601363876966,41.94,734.16,38.54,772.6999999999999,QR scan
parcel,2024-07-26,23:30:26.627163,completed,Indiranagar 3rd Stage,Bellandur Ridge,107,RD4766141630404746,1.49,406.96,20.96,427.91999999999996,GPay
parcel,2024-07-23,15:09:27.627163,cancelled,Chikkabellandur Yard,Dasarahalli Estate,14,RD5012912225190631,33.09,,,,nan
bike,2024-07-20,09:24:27.627163,cancelled,Bommanahalli Landing,Chikka Banaswadi Station,108,RD1274876186393159,33.45,,,,nan
bike lite,2024-08-10,20:12:17.627163,cancelled,Chikkajala 5th Block,Hennur Road 6th Block,90,RD2911742052290300,47.94,,,,nan
bike,2024-07-24,01:29:13.627163,completed,Sonnenahalli Boulevard,Dodda Banaswadi District,80,RD4691458045313667,14.62,466.69,48.56,515.25,QR scan
auto,2024-08-10,03:55:44.627163,completed,Hoodi Fields,Doddakannelli Commons,40,RD6839716808108387,16.98,289.39,5.77,295.15999999999997,Amazon Pay
bike,2024-06-23,18:05:19.627163,completed,Madiwala Run,Horamavu Banaswadi Park,61,RD9399849437052216,3.99,149.68,32.27,181.95000000000002,Amazon Pay
bike,2024-07-16,21:58:29.627163,completed,RT Nagar Promenade,Koramangala 8th Block Promenade,61,RD9905616794413564,40.03,258.84,44.58,303.41999999999996,QR scan
bike,2024-08-06,13:12:12.627163,completed,Ulsoor Cutting,Kanakapura Square,80,RD5196547878495460,2.0,395.73,29.62,425.35,Paytm
bike,2024-08-14,20:43:02.627163,completed,Thanisandra Cut,BTM Layout Court,18,RD5780917672917098,34.45,989.91,30.81,1020.7199999999999,QR scan
bike,2024-08-07,13:32:59.627163,completed,Horamavu Agara District,Kadubeesanahalli Commons,84,RD1002607342931091,31.36,324.51,23.64,348.15,Paytm
parcel,2024-07-10,10:27:43.627163,completed,Chikkajala Layout,Kadubeesanahalli Road,58,RD5211046419812546,27.16,561.6,28.77,590.37,Amazon Pay
auto,2024-07-12,22:23:43.627163,completed,Koramangala 8th Block Place,Naganathapura Cross,14,RD9229813428251688,14.5,789.01,21.86,810.87,Paytm
parcel,2024-06-20,07:35:33.627163,completed,Kothnur Pass,ITI Layout Drive,112,RD6456405494128861,40.55,114.46,32.0,146.45999999999998,GPay
bike,2024-07-17,13:21:49.627163,completed,Ulsoor Harbor,Benniganahalli Landing,111,RD5300426018750383,39.97,137.4,28.99,166.39000000000001,QR scan
bike,2024-07-21,08:56:53.627163,completed,Munnekollal Layout,Nayandahalli Quadrant,62,RD7331588031850794,42.81,479.05,5.99,485.04,GPay
cab economy,2024-07-12,18:18:19.627163,completed,Basaveshwaranagar Close,Bellandur Cross,52,RD6464658393015066,18.72,102.35,38.38,140.73,QR scan
auto,2024-06-21,14:31:34.627163,completed,Hosur Harbor,Jalahalli Pier,90,RD4866189072423757,23.99,985.06,3.08,988.14,Paytm
parcel,2024-08-14,23:37:54.627163,completed,Vijayanagar Area,Ramamurthy Nagar Commons,44,RD8402370727840395,10.95,399.26,24.2,423.46,Amazon Pay
auto,2024-07-27,12:56:58.627163,completed,Nagwara Area,Koramangala 7th Block Nagar,83,RD0930693559732337,5.76,968.64,38.16,1006.8,Amazon Pay
bike,2024-07-09,03:21:23.627163,completed,Malleshwaram Station,Seshadripuram Cut,110,RD0335796605771534,3.76,262.03,42.32,304.34999999999997,Paytm
cab economy,2024-06-26,12:13:13.627163,completed,Vasanth Nagar 5th Stage,Hulimavu 1st Stage,52,RD4456100783830111,43.06,737.93,31.75,769.68,Amazon Pay
bike lite,2024-07-13,14:18:31.627163,completed,Kalena Agrahara Way,Koramangala 8th Block Mews,18,RD0557947925301617,16.96,225.99,28.81,254.8,Paytm
bike,2024-08-10,09:48:05.627163,completed,Hebbal Kempapura Township,Koramangala Esplanade,110,RD5968075784011553,29.36,147.27,1.13,148.4,GPay
bike lite,2024-08-13,17:52:56.627163,completed,KR Puram Area,Domlur Trail,35,RD4528469234738678,16.86,434.43,46.96,481.39,GPay
cab economy,2024-06-30,17:28:14.627163,completed,Banaswadi Pass,Frazer Town 1st Stage,45,RD4016797237454680,11.73,464.06,24.31,488.37,GPay
cab economy,2024-07-21,21:56:18.627163,completed,Kalyan Nagar Promenade,Bhadrappa Layout Esplanade,67,RD7330491545547584,39.43,601.08,35.39,636.47,GPay
bike,2024-08-13,05:18:05.627163,cancelled,Kadubeesanahalli Trail,Koramangala 6th Block Extension,44,RD4961213153683527,16.18,,,,nan
bike,2024-08-02,19:43:38.627163,cancelled,Dooravani Nagar Close,Munnekollal 6th Block,19,RD0398559270299348,25.07,,,,nan
parcel,2024-07-28,05:18:22.627163,completed,Kalyan Nagar Landing,Basavanagudi Plaza,30,RD2077952904161379,49.15,858.6,33.6,892.2,QR scan
bike,2024-07-19,13:12:13.627163,completed,ITI Layout View,Nandini Layout Depot,59,RD8930922004003663,47.21,271.06,10.78,281.84,Paytm
cab economy,2024-08-13,02:23:50.627163,completed,Basaveshwaranagar Landing,Koramangala 4th Block 4th Block,59,RD6140402640560520,32.77,503.81,32.76,536.57,GPay
parcel,2024-07-09,15:55:57.627163,completed,Vijayanagar Area,Vidya Vihar Close,62,RD4984147029311297,11.58,757.63,29.01,786.64,GPay
auto,2024-07-12,17:36:28.627163,completed,Dasarahalli 6th Block,Hoodi 3rd Stage,113,RD1734633347945167,12.44,52.58,4.23,56.81,Amazon Pay
auto,2024-06-30,09:24:38.627163,completed,Attibele Trail,Kalyan Nagar Area,31,RD9198119297613097,40.28,223.17,15.69,238.85999999999999,Paytm
auto,2024-07-15,08:18:13.627163,completed,Subbanna Palya 4th Block,Byatarayanapura 3rd Block,86,RD7404488644727402,4.78,454.49,5.52,460.01,Amazon Pay
parcel,2024-07-15,23:23:49.627163,completed,Nelamangala Farms,Subramanyapura Bay,104,RD9114576607039293,2.8,821.81,45.31,867.1199999999999,Amazon Pay
parcel,2024-07-18,06:24:48.627163,completed,Harohalli Close,ITI Layout Township,43,RD0885807270185868,20.43,271.02,3.61,274.63,GPay
cab economy,2024-08-04,21:46:05.627163,completed,Kothanur Pointe,Nandini Layout Alley,70,RD4675653833570957,47.18,217.76,7.57,225.32999999999998,GPay
bike,2024-06-20,09:03:04.627163,completed,Magadi Road 6th Stage,Kasavanahalli Vista,104,RD3547438457730035,23.3,250.84,47.39,298.23,Paytm
bike,2024-08-05,11:13:12.627163,completed,Kudlu 6th Block,Hulimavu 2nd Stage,96,RD7659929525063557,28.75,102.11,43.83,145.94,Amazon Pay
parcel,2024-06-18,04:12:45.627163,completed,Nandini Layout Sector,Mahadevapura District,106,RD6535703706502460,31.34,394.27,26.12,420.39,Amazon Pay
parcel,2024-07-03,03:19:38.627163,completed,Indiranagar Meadows,Bommanahalli Vista,100,RD5916741806991802,17.2,680.54,3.9,684.4399999999999,Paytm
