booking_id,customer_id,driver_id,booking_time,pickup_location,drop_location,city,vehicle_type,payment_method,distance_km,trip_duration_min,base_fare,surge_multiplier,traffic_level,weather_condition,ride_status,cancelled_by,driver_delay_min
B00779,C0114,D0077,2026-01-06 11:08:00,MG Road,Marathahalli,Bengaluru,Cab,UPI,1.97,4.5,117.58,1.03,Low,Clear,Cancelled,Driver,0.0
B00780,C0391,D0107,2026-03-13 19:38:00,Kothrud,Hinjewadi,Pune,Auto,Card,2.63,9.7,83.67,1.77,High,Cloudy,Completed,Unknown,13.5
B00781,C0105,D0004,2026-03-05 12:47:00,Colaba,Chembur,Mumbai,Auto,UPI,7.59,13.1,128.31,1.32,Low,Rain,Cancelled,Customer,6.5
B00782,C0340,D0116,2026-02-13 02:04:00,Karol Bagh,Rohini,Delhi,Bike,UPI,4.96,10.7,69.76,1.1,Low,Clear,Completed,Unknown,0.0
B00783,C0156,D0144,2026-02-28 06:55:00,Connaught Place,Janakpuri,Delhi,Bike,UPI,1.1,3.6,46.6,1.31,High,Clear,Completed,Unknown,5.3
B00784,C0369,D0003,2026-01-23 17:09:00,Baner,Viman Nagar,Pune,Auto,Wallet,16.5,56.8,208.5,2.02,High,Rain,Completed,Unknown,4.0
B00785,C0173,D0004,2026-03-02 22:27:00,Janakpuri,Pitampura,Delhi,Bike,UPI,6.04,14.5,76.24,1.26,Medium,Rain,Completed,Unknown,9.3
B00786,C0399,D0109,2026-03-05 01:52:00,Janakpuri,Dwarka,Delhi,Bike,UPI,1.37,4.4,48.22,1.33,High,Cloudy,Incomplete,Unknown,3.6
B00787,C0382,D0026,2026-02-17 02:58:00,Secunderabad,Gachibowli,Hyderabad,Auto,UPI,5.88,17.7,112.92,1.14,Medium,Clear,Cancelled,Customer,1.8
B00788,C0364,D0114,2026-02-24 17:48:00,Koramangala,HSR Layout,Bengaluru,Bike,Wallet,9.02,29.5,94.12,1.71,High,Clear,Completed,Unknown,7.6
B00789,C0104,D0007,2026-02-13 11:52:00,Colaba,Andheri,Mumbai,Bike,Cash,2.0,6.1,52.0,1.03,Medium,Cloudy,Completed,Unknown,2.4
B00790,C0217,D0079,2026-02-20 03:15:00,Janakpuri,Rohini,Delhi,Bike,Cash,2.6,4.8,55.6,1.11,Low,Cloudy,Completed,Unknown,0.0
B00791,C0219,D0034,2026-03-25 12:30:00,Andheri,Chembur,Mumbai,Bike,Card,2.99,7.6,57.94,1.1,Medium,Cloudy,Completed,Unknown,4.6
B00792,C0163,D0146,2026-02-09 03:59:00,HSR Layout,Marathahalli,Bengaluru,Cab,Wallet,3.73,14.5,142.22,1.33,High,Clear,Cancelled,Driver,0.4
B00793,C0068,D0107,2026-02-20 20:07:00,Dwarka,Rohini,Delhi,Bike,UPI,1.51,3.8,49.06,1.12,Medium,Clear,Completed,Unknown,11.2
B00794,C0379,D0040,2026-02-25 08:05:00,Dwarka,Karol Bagh,Delhi,Cab,Card,19.99,47.3,369.86,1.61,Low,Rain,Completed,Unknown,0.0
B00795,C0022,D0146,2026-01-19 23:02:00,Pitampura,Rohini,Delhi,Auto,Cash,5.23,12.3,107.07,1.1,Low,Clear,Completed,Unknown,0.0
B00796,C0246,D0063,2026-03-02 19:27:00,Rohini,Pitampura,Delhi,Auto,Wallet,2.47,5.9,82.23,1.44,Medium,Clear,Completed,Unknown,0.6
B00797,C0383,D0141,2026-03-04 04:25:00,Marathahalli,Indiranagar,Bengaluru,Auto,Wallet,2.3,7.9,80.7,1.37,High,Cloudy,Completed,Unknown,3.6
B00798,C0232,D0021,2026-03-31 15:42:00,Gachibowli,Banjara Hills,Hyderabad,Auto,UPI,5.05,10.7,105.45,1.23,Low,Rain,Cancelled,Customer,0.2
B00799,C0040,D0079,2026-03-14 14:15:00,Noida Sector 18,Connaught Place,Delhi,Cab,UPI,5.58,12.9,168.12,1.08,Low,Clear,Completed,Unknown,4.4
B00800,C0156,D0117,2026-01-04 05:25:00,Baner,Kothrud,Pune,Cab,Wallet,1.39,3.2,109.46,1.11,Low,Clear,Completed,Unknown,1.1
B00801,C0141,D0095,2026-02-02 21:15:00,Malad,Bandra,Mumbai,Bike,Cash,1.63,3.1,49.78,1.04,Low,Clear,Completed,Unknown,2.2
B00802,C0175,D0052,2026-01-15 10:18:00,Andheri,Colaba,Mumbai,Bike,Cash,5.84,22.7,75.04,1.31,High,Clear,Incomplete,Unknown,2.6
B00803,C0356,D0040,2026-01-05 11:54:00,Kharadi,Hinjewadi,Pune,Bike,Cash,3.49,7.1,60.94,1.09,Low,Cloudy,Completed,Unknown,0.0
B00804,C0201,D0097,2026-01-28 00:23:00,Hinjewadi,Kothrud,Pune,Cab,UPI,1.73,3.7,114.22,1.14,Low,Cloudy,Completed,Unknown,3.3
B00805,C0009,D0116,2026-03-08 17:51:00,Gachibowli,Banjara Hills,Hyderabad,Auto,UPI,9.02,15.3,141.18,1.42,Low,Clear,Cancelled,Driver,0.0
B00806,C0076,D0095,2026-02-11 08:55:00,Secunderabad,Gachibowli,Hyderabad,Auto,UPI,5.8,13.4,112.2,1.72,Medium,Rain,Completed,Unknown,5.9
B00807,C0125,D0037,2026-02-12 17:32:00,Bandra,Dadar,Mumbai,Auto,UPI,2.27,8.9,80.43,1.83,High,Cloudy,Completed,Unknown,2.2
B00808,C0195,D0121,2026-03-04 18:59:00,MG Road,Jayanagar,Bengaluru,Auto,Card,4.04,9.3,96.36,1.54,Medium,Cloudy,Completed,Unknown,4.7
B00809,C0144,D0069,2026-01-08 19:17:00,Whitefield,Jayanagar,Bengaluru,Bike,UPI,4.6,18.7,67.6,1.78,High,Cloudy,Cancelled,Customer,5.4
B00810,C0311,D0041,2026-03-13 03:59:00,Chembur,Bandra,Mumbai,Bike,UPI,18.09,39.5,148.54,1.07,Low,Clear,Cancelled,Customer,0.0
B00811,C0065,D0124,2026-03-10 18:33:00,Malad,Bandra,Mumbai,Auto,UPI,5.12,14.2,106.08,1.53,Medium,Clear,Cancelled,Customer,0.9
B00812,C0158,D0132,2026-01-07 01:02:00,Pitampura,Connaught Place,Delhi,Auto,Wallet,1.25,3.0,71.25,1.22,Medium,Rain,Completed,Unknown,9.6
B00813,C0236,D0116,2026-02-06 21:22:00,Colaba,Powai,Mumbai,Auto,UPI,11.82,23.4,166.38,1.03,Low,Clear,Completed,Unknown,0.0
B00814,C0262,D0023,2026-02-17 18:15:00,Kothrud,Baner,Pune,Bike,UPI,7.64,19.9,85.84,1.55,Medium,Clear,Completed,Unknown,5.4
B00815,C0304,D0130,2026-02-20 16:29:00,Kukatpally,Ameerpet,Hyderabad,Cab,UPI,4.74,9.3,156.36,1.01,Low,Clear,Cancelled,Driver,0.0
B00816,C0143,D0050,2026-03-31 03:47:00,Pitampura,Saket,Delhi,Auto,UPI,11.05,25.6,159.45,1.08,Medium,Clear,Cancelled,Driver,4.4
B00817,C0129,D0017,2026-03-04 02:52:00,Secunderabad,Madhapur,Hyderabad,Bike,Card,11.36,25.9,108.16,1.06,Low,Clear,Completed,Unknown,3.5
B00818,C0271,D0038,2026-03-21 07:37:00,Madhapur,Kukatpally,Hyderabad,Cab,UPI,1.57,4.3,111.98,1.4,Medium,Cloudy,Completed,Unknown,12.1
B00819,C0166,D0053,2026-01-30 00:37:00,Ameerpet,Gachibowli,Hyderabad,Auto,UPI,8.89,26.0,140.01,1.56,High,Rain,Incomplete,Unknown,6.1
B00820,C0307,D0060,2026-01-27 19:50:00,Janakpuri,Pitampura,Delhi,Cab,Wallet,5.99,20.3,173.86,1.91,High,Rain,Cancelled,Customer,0.4
B00821,C0045,D0055,2026-01-13 16:12:00,Indiranagar,Jayanagar,Bengaluru,Cab,Card,7.3,17.3,192.2,1.14,Low,Clear,Completed,Unknown,4.8
B00822,C0380,D0039,2026-03-21 23:22:00,Hauz Khas,Pitampura,Delhi,Bike,UPI,15.74,30.3,134.44,1.12,Low,Cloudy,Completed,Unknown,3.3
B00823,C0033,D0014,2026-01-08 03:44:00,Kukatpally,Secunderabad,Hyderabad,Auto,UPI,2.48,5.8,82.32,1.06,Low,Cloudy,Completed,Unknown,0.0
B00824,C0062,D0079,2026-02-11 11:38:00,Kothrud,Viman Nagar,Pune,Auto,UPI,5.14,10.5,106.26,1.02,Low,Clear,Completed,Unknown,1.6
B00825,C0043,D0079,2026-03-10 09:16:00,Indiranagar,Marathahalli,Bengaluru,Cab,Wallet,2.69,10.5,127.66,1.82,High,Clear,Completed,Unknown,12.9
B00826,C0224,D0015,2026-03-28 23:50:00,Pitampura,Lajpat Nagar,Delhi,Cab,Cash,2.48,6.7,124.72,1.21,Medium,Rain,Completed,Unknown,5.8
B00827,C0356,D0116,2026-01-29 08:46:00,Bandra,Borivali,Mumbai,Auto,Wallet,13.07,33.5,177.63,1.53,Medium,Clear,Completed,Unknown,2.2
B00828,C0188,D0133,2026-01-12 18:41:00,Ameerpet,Gachibowli,Hyderabad,Auto,UPI,3.87,15.7,94.83,1.92,High,Rain,Completed,Unknown,6.4
B00829,C0245,D0085,2026-02-26 00:00:00,Electronic City,Koramangala,Bengaluru,Auto,Card,4.63,10.2,101.67,1.04,Low,Clear,Completed,Unknown,4.7
B00830,C0053,D0134,2026-02-20 06:26:00,Lajpat Nagar,Janakpuri,Delhi,Auto,Card,4.11,7.3,96.99,1.11,Low,Clear,Completed,Unknown,1.8
B00831,C0255,D0044,2026-01-06 22:48:00,Whitefield,Electronic City,Bengaluru,Auto,Wallet,12.56,28.2,173.04,1.34,Medium,Rain,Completed,Unknown,3.3
B00832,C0327,D0130,2026-02-19 13:42:00,Hinjewadi,Kharadi,Pune,Bike,UPI,12.21,34.1,113.26,1.02,Medium,Clear,Completed,Unknown,1.4
B00833,C0064,D0060,2026-02-09 07:06:00,Madhapur,Banjara Hills,Hyderabad,Bike,Cash,16.46,50.5,138.76,1.72,High,Clear,Completed,Unknown,3.8
B00834,C0044,D0131,2026-02-05 00:14:00,Chembur,Colaba,Mumbai,Cab,Cash,1.12,3.4,105.68,1.21,Medium,Rain,Completed,Unknown,1.4
B00835,C0115,D0093,2026-03-02 22:42:00,Andheri,Borivali,Mumbai,Auto,Cash,11.37,31.6,162.33,1.01,Medium,Clear,Incomplete,Unknown,7.5
B00836,C0135,D0030,2026-02-17 21:15:00,Ameerpet,Madhapur,Hyderabad,Auto,Wallet,6.11,10.5,114.99,1.05,Low,Cloudy,Cancelled,Driver,4.9
B00837,C0173,D0109,2026-01-13 03:30:00,Noida Sector 18,Lajpat Nagar,Delhi,Auto,UPI,8.69,17.0,138.21,1.13,Low,Clear,Completed,Unknown,7.1
B00838,C0324,D0113,2026-03-09 22:25:00,Connaught Place,Pitampura,Delhi,Bike,Wallet,1.36,2.4,48.16,1.1,Low,Clear,Completed,Unknown,5.8
B00839,C0219,D0128,2026-02-12 03:47:00,Ameerpet,Madhapur,Hyderabad,Bike,UPI,2.89,7.8,57.34,1.12,Medium,Cloudy,Cancelled,Driver,0.0
B00840,C0391,D0128,2026-03-26 11:50:00,Kothrud,Wakad,Pune,Cab,UPI,4.86,11.2,158.04,1.12,Low,Clear,Completed,Unknown,3.3
B00841,C0150,D0002,2026-01-02 04:28:00,Banjara Hills,Madhapur,Hyderabad,Auto,Card,5.66,21.0,110.94,1.36,High,Cloudy,Completed,Unknown,11.5
B00842,C0062,D0008,2026-03-30 15:08:00,Hinjewadi,Viman Nagar,Pune,Bike,Cash,3.57,13.7,61.42,1.53,High,Rain,Completed,Unknown,11.6
B00843,C0079,D0086,2026-02-03 09:48:00,Powai,Dadar,Mumbai,Auto,UPI,17.54,53.7,217.86,1.51,Medium,Clear,Completed,Unknown,0.0
B00844,C0389,D0093,2026-02-15 08:11:00,Koramangala,Marathahalli,Bengaluru,Cab,Cash,7.66,21.4,197.24,1.72,High,Clear,Completed,Unknown,8.9
B00845,C0224,D0126,2026-01-27 14:44:00,Wakad,Baner,Pune,Bike,Cash,20.31,47.3,161.86,1.04,Low,Clear,Completed,Unknown,10.4
B00846,C0058,D0005,2026-02-01 10:45:00,Janakpuri,Karol Bagh,Delhi,Cab,UPI,3.18,6.2,134.52,1.12,Low,Cloudy,Completed,Unknown,6.1
B00847,C0368,D0060,2026-03-27 00:03:00,Hinjewadi,Kharadi,Pune,Bike,UPI,13.15,23.1,118.9,1.12,Low,Clear,Completed,Unknown,6.8
B00848,C0094,D0003,2026-02-21 05:52:00,Andheri,Colaba,Mumbai,Bike,UPI,4.08,7.1,64.48,1.15,Low,Clear,Cancelled,Customer,2.6
B00849,C0106,D0076,2026-01-05 05:00:00,Baner,Kharadi,Pune,Auto,Card,6.56,21.2,119.04,1.57,High,Rain,Completed,Unknown,6.3
B00850,C0340,D0147,2026-03-20 02:44:00,Gachibowli,Secunderabad,Hyderabad,Bike,UPI,10.22,31.7,101.32,1.4,High,Smog,Cancelled,Customer,0.0
B00851,C0306,D0051,2026-01-19 17:37:00,Borivali,Malad,Mumbai,Cab,Wallet,3.32,9.2,136.48,1.84,High,Clear,Cancelled,Customer,1.3
B00852,C0366,D0098,2026-03-05 11:22:00,Pitampura,Hauz Khas,Delhi,Bike,UPI,5.3,8.9,71.8,1.24,Low,Rain,Incomplete,Unknown,5.5
B00853,C0345,D0012,2026-01-10 12:06:00,Wakad,Kharadi,Pune,Auto,Wallet,3.71,8.6,93.39,1.02,Medium,Clear,Completed,Unknown,0.0
B00854,C0278,D0106,2026-02-19 00:55:00,Janakpuri,Connaught Place,Delhi,Cab,UPI,6.81,17.2,185.34,1.01,Medium,Cloudy,Cancelled,Customer,3.7
B00855,C0281,D0046,2026-02-15 08:13:00,Borivali,Powai,Mumbai,Auto,Cash,9.45,36.8,145.05,1.7,High,Cloudy,Completed,Unknown,7.7
B00856,C0342,D0087,2026-03-29 10:06:00,Jayanagar,Whitefield,Bengaluru,Bike,Card,11.83,28.3,110.98,1.02,Medium,Clear,Cancelled,Customer,8.4
B00857,C0310,D0076,2026-02-19 03:18:00,Koramangala,Indiranagar,Bengaluru,Cab,Cash,25.06,54.7,440.84,1.32,Low,Rain,Completed,Unknown,0.0
B00858,C0106,D0060,2026-03-16 22:04:00,Whitefield,Electronic City,Bengaluru,Auto,Card,7.48,13.5,127.32,1.11,Low,Clear,Completed,Unknown,0.0
B00859,C0089,D0092,2026-01-24 20:39:00,Indiranagar,Whitefield,Bengaluru,Auto,UPI,1.2,2.9,70.8,1.0,Medium,Clear,Cancelled,Customer,3.5
B00860,C0177,D0073,2026-01-13 04:21:00,Gachibowli,Kukatpally,Hyderabad,Cab,UPI,7.75,23.2,198.5,1.4,High,Smog,Cancelled,Customer,5.2
B00861,C0168,D0097,2026-02-06 17:48:00,Koramangala,Indiranagar,Bengaluru,Bike,UPI,1.73,4.7,50.38,1.77,High,Cloudy,Cancelled,Customer,1.5
B00862,C0136,D0079,2026-01-06 10:55:00,Andheri,Powai,Mumbai,Cab,UPI,1.12,3.9,105.68,1.4,High,Clear,Completed,Unknown,4.1
B00863,C0348,D0134,2026-01-02 10:19:00,Gachibowli,Madhapur,Hyderabad,Bike,Card,1.4,2.8,48.4,1.07,Low,Clear,Completed,Unknown,2.8
B00864,C0147,D0143,2026-03-05 19:11:00,Marathahalli,Electronic City,Bengaluru,Bike,UPI,18.09,51.2,148.54,1.63,Medium,Rain,Cancelled,Driver,0.0
B00865,C0011,D0126,2026-01-17 20:59:00,Madhapur,Secunderabad,Hyderabad,Bike,Cash,1.43,2.5,48.58,1.13,Low,Clear,Completed,Unknown,7.5
B00866,C0059,D0001,2026-02-21 06:22:00,Bandra,Chembur,Mumbai,Bike,Cash,4.32,9.2,65.92,1.07,Low,Clear,Completed,Unknown,4.6
B00867,C0046,D0120,2026-02-28 23:54:00,Koramangala,Marathahalli,Bengaluru,Auto,UPI,5.72,15.9,111.48,1.53,High,Rain,Cancelled,Driver,6.1
B00868,C0186,D0133,2026-02-09 22:44:00,Powai,Dadar,Mumbai,Auto,Card,7.58,22.0,128.22,1.31,Medium,Rain,Completed,Unknown,0.2
B00869,C0222,D0134,2026-01-14 17:23:00,Wakad,Hinjewadi,Pune,Auto,UPI,19.2,51.2,232.8,1.4,Medium,Clear,Cancelled,Driver,0.0
B00870,C0282,D0112,2026-03-10 00:29:00,Ameerpet,Madhapur,Hyderabad,Bike,UPI,5.72,13.8,74.32,1.14,Medium,Clear,Completed,Unknown,7.7
B00871,C0353,D0137,2026-01-05 02:12:00,Andheri,Borivali,Mumbai,Bike,Cash,10.7,25.8,104.2,1.0,Medium,Cloudy,Completed,Unknown,3.2
B00872,C0059,D0131,2026-01-17 17:10:00,Madhapur,Kukatpally,Hyderabad,Bike,Card,1.54,4.0,49.24,1.66,Medium,Rain,Cancelled,Customer,6.1
B00873,C0103,D0136,2026-01-31 08:21:00,Baner,Kharadi,Pune,Auto,Card,3.32,10.2,89.88,1.41,Medium,Clear,Completed,Unknown,0.0
B00874,C0306,D0031,2026-03-14 08:15:00,Electronic City,Koramangala,Bengaluru,Cab,Cash,4.11,12.0,147.54,1.75,High,Clear,Completed,Unknown,4.5
B00875,C0369,D0004,2026-03-13 17:02:00,Banjara Hills,Secunderabad,Hyderabad,Auto,Cash,8.58,19.3,137.22,1.49,Medium,Clear,Completed,Unknown,10.2
B00876,C0044,D0034,2026-03-08 23:43:00,Secunderabad,Kukatpally,Hyderabad,Cab,UPI,1.42,4.3,109.88,1.12,Medium,Clear,Completed,Unknown,1.5
B00877,C0130,D0092,2026-03-16 15:15:00,Baner,Viman Nagar,Pune,Bike,UPI,3.75,6.6,62.5,1.29,Low,Rain,Cancelled,Customer,0.1
B00878,C0161,D0053,2026-02-11 07:29:00,Secunderabad,Ameerpet,Hyderabad,Auto,UPI,4.06,16.2,96.54,1.83,High,Clear,Completed,Unknown,5.4
B00879,C0236,D0019,2026-01-26 17:40:00,Hinjewadi,Wakad,Pune,Auto,UPI,8.21,25.7,133.89,1.75,High,Clear,Cancelled,Driver,3.7
B00880,C0039,D0124,2026-02-02 19:24:00,Dwarka,Karol Bagh,Delhi,Bike,UPI,1.13,3.1,46.78,2.0,High,Rain,Completed,Unknown,2.5
B00881,C0335,D0002,2026-03-08 03:59:00,Gachibowli,Madhapur,Hyderabad,Auto,UPI,9.2,24.8,142.8,1.08,Medium,Cloudy,Completed,Unknown,5.8
B00882,C0045,D0084,2026-02-06 00:20:00,Gachibowli,Ameerpet,Hyderabad,Bike,UPI,1.56,4.4,49.36,1.07,Medium,Clear,Completed,Unknown,4.5
B00883,C0050,D0107,2026-03-03 11:59:00,Hinjewadi,Kharadi,Pune,Bike,Cash,3.47,7.0,60.82,1.13,Low,Clear,Completed,Unknown,6.5
B00884,C0323,D0102,2026-02-24 07:20:00,Malad,Dadar,Mumbai,Auto,Card,2.29,6.4,80.61,1.73,High,Clear,Completed,Unknown,7.9
B00885,C0382,D0131,2026-03-15 13:51:00,Lajpat Nagar,Saket,Delhi,Bike,Card,11.69,34.9,110.14,1.32,High,Cloudy,Completed,Unknown,4.9
B00886,C0335,D0030,2026-01-17 10:30:00,Baner,Hinjewadi,Pune,Bike,UPI,7.26,20.5,83.56,1.01,Medium,Clear,Completed,Unknown,8.2
B00887,C0195,D0099,2026-03-09 08:30:00,Noida Sector 18,Saket,Delhi,Bike,UPI,4.39,10.7,66.34,1.47,Medium,Clear,Completed,Unknown,11.8
B00888,C0163,D0132,2026-03-05 12:19:00,MG Road,Whitefield,Bengaluru,Cab,UPI,6.15,18.7,176.1,1.06,Medium,Clear,Completed,Unknown,5.8
B00889,C0311,D0109,2026-03-08 06:12:00,Bandra,Powai,Mumbai,Bike,Wallet,18.6,56.4,151.6,1.05,Medium,Clear,Completed,Unknown,0.9
B00890,C0180,D0144,2026-01-02 01:49:00,Hauz Khas,Saket,Delhi,Auto,Card,17.51,38.1,217.59,1.34,Low,Rain,Completed,Unknown,9.4
B00891,C0082,D0142,2026-03-19 05:57:00,Viman Nagar,Hinjewadi,Pune,Cab,UPI,1.31,3.1,108.34,1.1,Medium,Clear,Completed,Unknown,8.8
B00892,C0066,D0132,2026-03-12 10:09:00,Koramangala,Whitefield,Bengaluru,Cab,Wallet,4.81,8.4,157.34,1.11,Low,Clear,Completed,Unknown,3.6
B00893,C0353,D0034,2026-01-29 09:17:00,Chembur,Borivali,Mumbai,Bike,Wallet,25.23,72.9,191.38,1.45,Medium,Clear,Cancelled,Customer,4.0
B00894,C0248,D0033,2026-01-13 11:19:00,Borivali,Powai,Mumbai,Auto,Cash,5.73,13.3,111.57,1.06,Low,Cloudy,Completed,Unknown,1.7
B00895,C0072,D0126,2026-02-11 07:30:00,Indiranagar,Whitefield,Bengaluru,Cab,UPI,2.08,6.3,119.12,1.76,High,Clear,Cancelled,Driver,5.9
B00896,C0285,D0025,2026-02-16 05:56:00,Jayanagar,Marathahalli,Bengaluru,Auto,Card,1.3,3.8,71.7,1.06,Medium,Cloudy,Completed,Unknown,0.0
B00897,C0171,D0055,2026-03-08 20:30:00,Karol Bagh,Rohini,Delhi,Auto,UPI,2.14,5.8,79.26,1.04,Medium,Cloudy,Completed,Unknown,10.7
B00898,C0197,D0020,2026-02-19 09:53:00,Wakad,Viman Nagar,Pune,Bike,UPI,7.51,21.0,85.06,1.42,Medium,Clear,Completed,Unknown,2.2
B00899,C0033,D0013,2026-02-20 17:11:00,Malad,Powai,Mumbai,Auto,Cash,11.4,28.0,162.6,1.54,Medium,Cloudy,Completed,Unknown,0.1
B00900,C0323,D0002,2026-01-21 16:44:00,Janakpuri,Saket,Delhi,Bike,Cash,2.81,7.9,56.86,1.13,Medium,Clear,Completed,Unknown,5.8
B00901,C0031,D0137,2026-01-06 16:30:00,Gachibowli,Madhapur,Hyderabad,Cab,UPI,13.35,22.4,276.9,1.01,Low,Cloudy,Incomplete,Unknown,10.6
B00902,C0058,D0060,2026-02-18 07:00:00,Banjara Hills,Madhapur,Hyderabad,Auto,Wallet,5.12,19.8,106.08,1.76,High,Cloudy,Completed,Unknown,0.7
B00903,C0238,D0097,2026-01-16 18:10:00,Hinjewadi,Kharadi,Pune,Auto,Card,6.04,22.8,114.36,1.7,High,Clear,Completed,Unknown,5.4
B00904,C0369,D0137,2026-03-31 01:28:00,Dadar,Chembur,Mumbai,Auto,UPI,4.67,8.8,102.03,1.04,Low,Cloudy,Completed,Unknown,1.0
B00905,C0046,D0096,2026-01-07 15:46:00,Whitefield,HSR Layout,Bengaluru,Auto,Cash,3.24,5.8,89.16,1.07,Low,Smog,Completed,Unknown,0.0
B00906,C0386,D0115,2026-01-01 13:12:00,Gachibowli,Madhapur,Hyderabad,Cab,Wallet,18.36,32.9,347.04,1.13,Low,Clear,Incomplete,Unknown,3.1
B00907,C0296,D0136,2026-03-27 22:44:00,Saket,Noida Sector 18,Delhi,Auto,Card,6.51,25.7,118.59,1.36,High,Clear,Completed,Unknown,3.4
B00908,C0391,D0083,2026-01-24 10:52:00,Gachibowli,Kukatpally,Hyderabad,Cab,Cash,11.92,35.6,256.88,1.02,Medium,Smog,Completed,Unknown,1.3
B00909,C0034,D0095,2026-03-19 06:40:00,Ameerpet,Madhapur,Hyderabad,Cab,UPI,1.0,1.8,104.0,1.02,Low,Cloudy,Completed,Unknown,0.0
B00910,C0047,D0118,2026-03-13 14:59:00,Gachibowli,Banjara Hills,Hyderabad,Auto,UPI,30.42,76.7,333.78,1.22,Medium,Rain,Completed,Unknown,7.9
B00911,C0335,D0137,2026-02-13 22:23:00,Gachibowli,Ameerpet,Hyderabad,Auto,Card,10.26,30.7,152.34,1.6,High,Rain,Completed,Unknown,8.2
B00912,C0207,D0014,2026-03-29 11:13:00,Jayanagar,Whitefield,Bengaluru,Cab,UPI,2.23,4.7,121.22,1.13,Low,Clear,Completed,Unknown,4.2
B00913,C0047,D0027,2026-02-13 02:56:00,Powai,Colaba,Mumbai,Auto,Card,3.88,15.8,94.92,1.3,High,Clear,Cancelled,Customer,8.5
B00914,C0277,D0142,2026-03-19 20:23:00,Colaba,Andheri,Mumbai,Cab,Cash,13.96,32.7,285.44,1.04,Low,Clear,Completed,Unknown,3.5
B00915,C0064,D0033,2026-03-19 11:53:00,Dwarka,Pitampura,Delhi,Cab,UPI,7.12,19.9,189.68,1.14,Medium,Smog,Completed,Unknown,2.5
B00916,C0161,D0057,2026-02-26 11:20:00,Marathahalli,MG Road,Bengaluru,Auto,UPI,1.98,4.0,77.82,1.12,Low,Clear,Completed,Unknown,0.0
B00917,C0089,D0008,2026-01-29 02:35:00,Bandra,Malad,Mumbai,Auto,Card,10.97,30.6,158.73,1.25,Medium,Rain,Cancelled,Customer,11.6
B00918,C0206,D0085,2026-01-29 02:30:00,Chembur,Malad,Mumbai,Bike,Wallet,3.51,8.2,61.06,1.15,Medium,Clear,Cancelled,Customer,5.1
B00919,C0104,D0124,2026-01-20 23:39:00,Banjara Hills,Gachibowli,Hyderabad,Bike,Card,6.71,11.2,80.26,1.12,Low,Smog,Completed,Unknown,7.5
B00920,C0153,D0121,2026-01-13 15:03:00,Colaba,Chembur,Mumbai,Bike,Card,2.47,5.4,54.82,1.15,Low,Cloudy,Completed,Unknown,3.2
B00921,C0146,D0004,2026-02-22 23:59:00,MG Road,Indiranagar,Bengaluru,Cab,Card,4.91,15.0,158.74,1.14,Medium,Cloudy,Cancelled,Customer,13.4
B00922,C0329,D0137,2026-01-28 22:30:00,Madhapur,Banjara Hills,Hyderabad,Cab,UPI,2.48,5.1,124.72,1.08,Low,Clear,Cancelled,Customer,4.4
B00923,C0135,D0126,2026-02-10 01:57:00,Karol Bagh,Hauz Khas,Delhi,Bike,UPI,3.05,5.1,58.3,1.0,Low,Clear,Completed,Unknown,9.4
B00924,C0090,D0100,2026-03-10 14:12:00,Hinjewadi,Wakad,Pune,Bike,Cash,6.12,18.0,76.72,1.36,High,Cloudy,Completed,Unknown,4.0
B00925,C0269,D0096,2026-03-14 08:57:00,Noida Sector 18,Pitampura,Delhi,Cab,UPI,2.02,5.8,118.28,1.5,Medium,Cloudy,Completed,Unknown,0.0
B00926,C0107,D0038,2026-01-05 05:28:00,Dwarka,Noida Sector 18,Delhi,Auto,Card,3.55,9.4,91.95,1.14,Medium,Cloudy,Cancelled,Customer,0.6
B00927,C0277,D0056,2026-01-23 12:57:00,Janakpuri,Saket,Delhi,Cab,Card,5.21,13.3,162.94,1.07,Medium,Cloudy,Completed,Unknown,7.9
B00928,C0100,D0014,2026-03-31 03:08:00,Koramangala,Indiranagar,Bengaluru,Auto,UPI,1.59,3.5,74.31,1.03,Low,Clear,Completed,Unknown,0.0
B00929,C0390,D0138,2026-02-07 10:20:00,Hinjewadi,Baner,Pune,Bike,Card,9.73,22.6,98.38,1.05,Low,Clear,Completed,Unknown,0.5
B00930,C0159,D0035,2026-03-07 15:07:00,Hinjewadi,Kothrud,Pune,Bike,Cash,4.63,12.6,67.78,1.04,Medium,Cloudy,Completed,Unknown,4.8
B00931,C0167,D0052,2026-02-09 16:26:00,Pitampura,Karol Bagh,Delhi,Cab,Cash,2.54,5.3,125.56,1.32,Low,Rain,Completed,Unknown,7.1
B00932,C0269,D0124,2026-01-30 01:04:00,Saket,Janakpuri,Delhi,Cab,UPI,3.51,11.8,139.14,1.35,High,Clear,Completed,Unknown,8.4
B00933,C0171,D0049,2026-03-03 06:47:00,Banjara Hills,Ameerpet,Hyderabad,Cab,UPI,2.49,5.5,124.86,1.09,Low,Clear,Cancelled,Customer,1.1
B00934,C0013,D0051,2026-02-24 10:36:00,Gachibowli,Madhapur,Hyderabad,Bike,Wallet,14.47,34.6,126.82,1.08,Low,Clear,Completed,Unknown,8.3
B00935,C0232,D0090,2026-01-31 12:29:00,Secunderabad,Banjara Hills,Hyderabad,Auto,Card,9.82,27.8,148.38,1.35,High,Clear,Cancelled,Driver,3.2
